surface,access,smoking,leisure,tourism,fixme,operator,operator:type,dog,@geometry,@id,addr:city,website,addr:village,noname,addr:postcode,highway,landuse,addr:housenumber,description,type,barrier,name:etymology:wikidata,check_date,name,name:en,grassland,brand,opening_hours:covid19,addr:district,amenity,created_by,addr:street,brand:wikidata,opening_hours,latitude,longitude
,,,park,,,,,,center,way/546520574,,,,,,,,,,,,,,,,,,,,,,,,,28.4395715,77.0655628
,,,park,,,,,,center,way/557700825,,,,,,,,,"Municipal park with benches and walking paths surrounded by small shrubs, flower beds and well-maintained grass",,,,,,,,,,,,,,,,28.4355837,77.088811
,,,park,,,,,,center,way/581309919,,,,,,,,,"Small park for society residents
",,,,,Karanvir Towers Park,,,,,,,,,,,28.4352519,77.08955
,,,park,,,,,,center,way/581313140,,,,,,,,,,,,,,Golden Crest park and green area,,,,,,,,,,,28.4357155,77.0894684
,,,park,,,,,,center,way/581313412,,,,,,,,,,,,,,Butterfly Park Gurgaon,,,,,,,,,,,28.4364522,77.0919942
,,,park,,,,,,center,way/589014180,Gurugram,,,,122010,,Pink Town House,Dlf Phase -3,,,,,,Central Park,,,,,,,,U-24,,,28.4944482,77.0985008
,,,park,,,,,,center,way/592315617,,,,,,,,,,,,,,Palm Drive Gardens,,,,,,,,,,,28.4016387,77.0525854
,,,park,,,,,,center,way/592316728,,,,,,,,,,,,,,,,,,,,,,,,,28.4030722,77.0511201
,,,park,,,,,,center,way/592323494,,,,,,,,,,,,,,,,,,,,,,,,,28.399564,77.052149
,,,park,,,,,,center,way/592721845,,,,,,,,,,,,,,,,,,,,,,,,,28.4923795,77.09267
,,,park,,,,,,center,way/615614840,,,,,,,,,,,,,,Secctor 23 Maarket Park,,,,,,,,,,,28.5108379,77.0507141
,,,park,,,,,,center,way/615615431,,,,,,,,,,,,,,Community Park S2302,,,,,,,,,,,28.5122073,77.0565774
,,,park,,,,,,center,way/625513669,,,,,,,,,,,,,,Common Park,,,,,,,,,,,28.4426206,77.0654235
,,,park,,,,,,center,way/629362237,,,,,,,,,,,,,,,,,,,,,,,,,28.424604,77.0348058
,,,park,,,,,,center,way/629413037,,,,,,,,,,,,,,Nile's Central Park,,,,,,,,,,,28.4101823,77.0502963
,,,park,,,,,,center,way/630236232,,,,,,,,,,,,,,,,,,,,,,,,,28.4136839,77.0457397
,,,park,,,,,,center,way/630236234,,,,,,,,,,,,,,,,,,,,,,,,,28.4156632,77.0461726
,,,park,,,,,,center,way/630421732,,,,,,,,,,,,,,,,,,,,,,,,,28.4129822,77.0479822
,,,park,,,,,,center,way/651388658,,,,,,,,,,,,,,White Wood Central Park,,,,,,,,,,,28.4264667,77.0494069
,,,park,,,,,,center,way/689295726,Gurgoan,,,,122002,,,,,,,,,S Block Park,,,,,,,,Galli Number 28,,24/7,28.4864731,77.1036275
grass,,,park,,,,,,center,way/692838409,,,,,,,,,,,,,,Rose Garden,,,,,,,,,,,28.4148525,77.0920604
grass,,,park,,,,,,center,way/692838411,,,,,,,,,,,,,,Flower Park,,,,,,,,,,,28.414286,77.0922374
,,,park,,,,,,center,way/738481365,,,,,,,,,,,,,,,,,,,,,,,,,28.4712276,76.9996612
,,,park,,,,,,center,way/738481366,,,,,,,,,,,,,,,,,,,,,,,,,28.4712276,76.9998235
,,,park,,,,,,center,way/738481367,,,,,,,,,,,,,,,,,,,,,,,,,28.4720078,76.9973655
,,,park,,,MCG,,,center,way/742628572,,,,,,,,,,,,,,samadhan hub park,,,,,,,,,,24/7,28.4552416,77.0892282
